tcr_id_reference,percentage_lower
2vlr,0.43103448275862066
7pbe,13.649425287356323
3kps,23.132183908045977
7ndt,10.919540229885058
3h9s,35.48850574712644
2pye,0.14367816091954022
6r2l,84.91379310344827
7phr,16.666666666666664
4g9f,1.1494252873563218
7dzm,0.8620689655172413
6avg,18.53448275862069
2bnq,25.899280575539567
5c0c,0.0
6vma,20.402298850574713
7q9b,19.97126436781609
4mnq,55.02873563218391
4jry,99.56896551724138
6bj3,4.022988505747127
5yxn,79.3103448275862
8gvi,2.442528735632184
7nmg,6.752873563218391
6tmo,3.1609195402298855
5c09,0.0
8cx4,3.0172413793103448
5nmf,29.74137931034483
3mv9,0.14367816091954022
3d3v,0.14367816091954022
3vxr,1.8678160919540232
6vrn,30.603448275862068
5e6i,15.517241379310345
5e9d,20.977011494252874
7rm4,77.58620689655173
5nqk,0.0
5w1v,21.26436781609195
4pri,0.14367816091954022
7l1d,2.8735632183908044
