tcr_id,percentage_lower
6200,74.67811158798283
7650,48.354792560801144
15461,28.612303290414882
22568,12.589413447782546
13602,69.241773962804
16785,22.317596566523605
404,51.359084406294706
15059,33.190271816881264
7081,54.7925608011445
10134,71.38769670958513
7080,67.52503576537912
4990,14.449213161659513
30743,66.95278969957081
16828,49.35622317596567
2932,85.83690987124464
33664,93.41917024320458
13013,3.862660944206009
15304,28.612303290414882
31477,39.34191702432045
20036,69.8140200286123
5131,33.61945636623748
15311,62.08869814020028
19259,82.26037195994277
3391,82.83261802575107
26683,98.99856938483548
3791,67.0958512160229
12268,90.41487839771102
23512,47.63948497854077
12902,19.599427753934194
1385,13.01859799713877
33264,40.343347639484975
3753,33.33333333333333
14142,13.590844062947067
18817,88.55507868383404
32967,16.02288984263233
17098,59.7997138769671
26045,98.56938483547926
33460,54.36337625178827
8610,94.4206008583691
29000,69.38483547925608
29772,64.8068669527897
6370,45.20743919885551
14380,95.56509298998569
366,2.1459227467811157
19288,12.160228898426324
17514,43.776824034334766
3368,52.64663805436338
10778,17.8826895565093
5583,45.35050071530758
16686,49.64234620886982
14668,30.185979971387695
13891,56.79542203147353
12225,65.95135908440629
17611,43.490701001430615
6128,68.0972818311874
33567,61.659513590844064
3130,12.160228898426324
14245,70.3862660944206
6472,15.164520743919885
3522,93.27610872675251
5152,26.03719599427754
317,14.020028612303289
16928,65.23605150214593
21174,33.61945636623748
10785,92.7038626609442
11316,72.53218884120172
11460,13.876967095851217
4102,65.52217453505007
29510,51.072961373390555
7796,13.733905579399142
15766,18.168812589413445
22108,20.74391988555079
23564,94.70672389127324
18525,41.48783977110158
7146,19.742489270386265
16483,39.62804005722461
16456,32.904148783977114
26768,41.48783977110158
1131,28.183118741058657
1333,84.54935622317596
17601,86.40915593705293
9587,21.316165951359086
10556,90.70100143061516
15386,69.95708154506438
18715,61.945636623748214
12984,33.47639484978541
5818,84.69241773962804
12947,93.13304721030042
21433,3.862660944206009
889,65.52217453505007
6684,32.904148783977114
33156,70.81545064377683
19032,86.12303290414879
24789,23.605150214592275
28831,96.85264663805437
10160,54.077253218884124
33752,71.38769670958513
11900,85.40772532188842
3112,94.4206008583691
12366,23.89127324749642
33394,75.67954220314735
19970,43.490701001430615
7638,1.4306151645207439
1932,12.446351931330472
9598,88.55507868383404
7204,23.74821173104435
5605,34.19170243204578
4527,1.5736766809728182
6641,51.931330472103
15381,42.63233190271817
8081,68.95565092989986
14289,52.5035765379113
15183,53.36194563662375
5216,2.0028612303290414
2627,43.204577968526465
18275,86.69527896995707
23591,9.15593705293276
8647,73.24749642346208
5405,69.95708154506438
28942,26.609442060085836
4486,62.231759656652365
12105,49.64234620886982
12850,25.464949928469245
2655,63.0901287553648
9701,20.88698140200286
23859,1.2875536480686696
9850,47.06723891273247
25972,24.034334763948497
10936,39.34191702432045
22012,75.10729613733905
28885,17.59656652360515
7908,58.798283261802574
1174,6.723891273247497
13147,26.46638054363376
31292,68.95565092989986
1216,52.5035765379113
3940,5.7224606580829755
12089,81.25894134477825
18942,0.28612303290414876
21286,61.08726752503576
65,9.871244635193133
1205,42.91845493562232
18773,14.449213161659513
32617,27.753934191702434
17130,45.63662374821173
11541,82.26037195994277
15068,83.2618025751073
353,60.80114449213162
17469,49.35622317596567
13035,45.35050071530758
