tcr_name,closest_tcr
5,"['2nx5']"
6,"['3mv7', '3mv8', '3mv9', '4pri']"
7,"['3mv7', '3mv8', '3mv9', '4pri']"
8,"['6vm7', '6vm8']"
9,"['5jhd']"
10,"['1oga', '2vlj', '2vlk']"
11,"['6vmc']"
12,"['2vlr']"
13,"['1oga', '2vlj', '2vlk']"
14,"['6vm7', '6vm8']"
15,"['6vmc']"
16,"['6vmc']"
17,"['5jhd']"
19,"['1oga', '2vlj', '2vlk', '5euo']"
20,"['2vlr']"
21,"['1oga', '2vlj', '2vlk', '5euo']"
22,"['5euo']"
24,"['6rp9']"
25,"['5jhd']"
26,"['5jhd']"
27,"['5e6i']"
28,"['8cx4']"
29,"['7r80']"
30,"['5euo']"
31,"['6vm7', '6vm8']"
32,"['6vm7', '6vm8']"
33,"['2vlr']"
34,"['5euo']"
35,"['2vlr']"
36,"['1oga', '2vlj', '2vlk']"
37,"['6mtm']"
38,"['3qeq']"
39,"['5jhd']"
40,"['1oga', '2vlj', '2vlk']"
41,"['6vm7', '6vm8']"
42,"['1oga', '2vlj', '2vlk', '5euo']"
43,"['1oga', '2vlj', '2vlk', '5euo']"
44,"['1oga', '2vlj', '2vlk']"
46,"['6vmc']"
47,"['5jhd']"
48,"['1oga', '2vlj', '2vlk']"
49,"['3qeq']"
50,"['5e6i']"
51,"['5jhd']"
52,"['5jhd']"
53,"['3o4l']"
54,"['3o4l']"
55,"['3o4l']"
56,"['3o4l']"
57,"['3o4l']"
58,"['5nmf']"
60,"['3o4l']"
61,"['3o4l']"
63,"['7n1e']"
64,"['6rp9']"
65,"['3o4l']"
67,"['3o4l']"
68,"['3o4l']"
69,"['5w1w']"
70,"['6vmx']"
71,"['3qeq']"
72,"['5euo']"
73,"['2esv']"
74,"['2bnq']"
75,"['3gsn']"
76,"['5tez']"
77,"['7rk7']"
78,"['3o4l']"
79,"['7n6e']"
80,"['5xot', '6bj3', '6bj8']"
81,"['7rk7']"
82,"['6rpa']"
84,"['8en8', '8enh', '8eo8']"
85,"['7rrg']"
86,"['7nme', '7nmf', '7nmg']"
87,"['2bnq']"
88,"['6vrn']"
89,"['4eup']"
92,"['5e6i']"
93,"['6p64']"
94,"['6p64']"
95,"['4eup']"
96,"['7dzm', '7dzn']"
97,"['5men']"
98,"['7nme', '7nmf', '7nmg']"
99,"['7rrg']"
100,"['7rk7']"
101,"['7n2n', '7n2o', '7n2s', '8cx4']"
102,"['5jhd']"
103,"['7rrg']"
104,"['6uln', '6ulr']"
105,"['5d2n']"
106,"['5tez']"
107,"['5e6i']"
108,"['6p64']"
172,"['5jhd']"
173,"['1bd2']"
174,"['3o4l']"
175,"['7pbe']"
176,"['6rp9']"
177,"['6vrm']"
178,"['4eup']"
179,"['7pbe']"
180,"['2bnq']"
181,"['4eup']"
182,"['6zkx']"
183,"['6zkx']"
184,"['6zkx']"
185,"['6zkx']"
186,"['6zkx']"
187,"['6zkx']"
188,"['6zkx']"
189,"['6zkx']"
190,"['6zkx']"
191,"['6zkx']"
192,"['6zkx']"
193,"['6zkx']"
194,"['6zkx']"
195,"['6zkx']"
196,"['6zkx']"
197,"['6zkx']"
198,"['6zkx']"
199,"['6zkx']"
200,"['6zkx']"
201,"['6zkx']"
202,"['6zkx']"
203,"['6zkx']"
204,"['6zkx']"
205,"['6zkx']"
206,"['6zkx']"
207,"['6zkx']"
208,"['6zkx']"
209,"['6zkx']"
210,"['6zkx']"
211,"['6zkx']"
212,"['6zkx']"
213,"['6zkx']"
214,"['6zkx']"
215,"['6zkx']"
216,"['6zkx']"
217,"['6zkx']"
218,"['6zkx']"
220,"['6zkx']"
221,"['6zkx']"
222,"['6zkx']"
223,"['6zkx']"
224,"['6zkx']"
225,"['6zkx']"
226,"['6zkx']"
227,"['6zkx']"
228,"['6zkx']"
230,"['6zkx']"
231,"['6zkx']"
232,"['6zkx']"
233,"['6zkx']"
234,"['6zkx']"
235,"['6zkx']"
236,"['6zkx']"
237,"['6zkx']"
238,"['6zkx']"
239,"['6zkx']"
240,"['6zkx']"
241,"['6zkx']"
242,"['6zkx']"
244,"['6zkx']"
245,"['6zkx']"
246,"['6zkx']"
247,"['6zkx']"
249,"['6zkx']"
250,"['6zkx']"
251,"['6zkx']"
252,"['6zkx']"
253,"['6zkx']"
255,"['6zkx']"
256,"['6zkx']"
257,"['6zkx']"
258,"['6zkx']"
260,"['6zkx']"
261,"['6zkx']"
262,"['6zkx']"
263,"['6zkx']"
264,"['6zkx']"
265,"['6zkx']"
266,"['6zkx']"
267,"['6zkx']"
268,"['6zkx']"
269,"['6zkx']"
270,"['6zkx']"
273,"['6zkx']"
274,"['6zkx']"
275,"['6zkx']"
276,"['6zkx']"
277,"['6zkx']"
278,"['6zkx']"
279,"['6zkx']"
280,"['6zkx']"
281,"['6zkx']"
282,"['6zkx']"
283,"['6zkx']"
284,"['6zkx']"
285,"['6zkx']"
286,"['6zkx']"
288,"['6zkx']"
289,"['6zkx']"
291,"['2nx5']"
292,"['2nx5']"
293,"['2nx5']"
294,"['2nx5']"
295,"['2nx5']"
296,"['2nx5']"
297,"['2nx5']"
298,"['2ypl']"
299,"['4prp']"
300,"['8gom', '8gon']"
301,"['4mji']"
302,"['2p5e', '2p5w', '2pye']"
303,"['8eo8']"
304,"['6rp9']"
306,"['5hhm']"
309,"['3o4l']"
310,"['3o4l']"
311,"['6vrm']"
312,"['6vrm']"
313,"['7nme', '7nmf']"
314,"['5nme']"
316,"['2bnq']"
317,"['7dzm', '7dzn']"
318,"['3o4l']"
319,"['3o4l']"
320,"['3o4l']"
321,"['3o4l']"
322,"['7nme', '7nmf']"
323,"['7nme', '7nmf']"
324,"['5tez']"
325,"['3o4l']"
326,"['3o4l']"
327,"['6rpb']"
328,"['6vrm']"
329,"['8shi']"
330,"['6rpb']"
331,"['3o4l']"
332,"['6vmc']"
333,"['3o4l']"
334,"['3o4l']"
335,"['3o4l']"
336,"['7nme', '7nmf']"
337,"['5tez']"
338,"['2bnq']"
339,"['3sjv']"
340,"['3o4l']"
341,"['6vrm']"
342,"['6vrm']"
343,"['6vrm']"
344,"['6vrm']"
345,"['6vrm']"
346,"['6vrm']"
347,"['3o4l']"
348,"['3sjv']"
349,"['8dnt']"
350,"['7nme', '7nmf']"
351,"['3o4l']"
352,"['2bnq', '5nmf', '6q3s']"
353,"['4qrp']"
354,"['7nme', '7nmf', '7nmg']"
355,"['5tez']"
356,"['6mtm']"
358,"['3o4l']"
359,"['7dzm', '7dzn']"
360,"['3ffc']"
361,"['7dzm', '7dzn']"
362,"['7r80']"
363,"['7rk7']"
364,"['6rsy']"
365,"['7rk7']"
366,"['3kpr']"
367,"['7ndq', '7ndu']"
368,"['7l1d']"
369,"['8cx4']"
371,"['8cx4']"
373,"['5men']"
375,"['7rrg']"
376,"['6vrn']"
377,"['3ffc']"
378,"['7rrg']"
379,"['2esv']"
380,"['6ulr']"
381,"['4eup']"
382,"['7r80']"
383,"['7nme', '7nmf', '7nmg']"
384,"['6vm9', '6vma', '6vmc']"
385,"['7nme', '7nmf', '7nmg']"
386,"['7nme', '7nmf', '7nmg']"
387,"['7nme', '7nmf', '7nmg']"
388,"['3o4l']"
389,"['5xot', '6bj3', '6bj8']"
390,"['6mtm']"
391,"['1ao7', '1qrn', '1qse', '1qsf', '2gj6', '3d39', '3d3v', '3h9s', '3qfj']"
392,"['6ulr']"
393,"['4eup']"
394,"['7rrg']"
395,"['7rk7']"
397,"['6ulr']"
398,"['6rp9']"
399,"['4qrp']"
400,"['5xot', '6bj3', '6bj8']"
401,"['5xot', '6bj3', '6bj8']"
402,"['8cx4']"
403,"['5brz', '5bs0']"
404,"['7n6e']"
405,"['8gom', '8gon']"
406,"['5w1v', '5w1w']"
407,"['4eup']"
409,"['2bnq']"
410,"['6ulr']"
411,"['7rrg']"
412,"['6ulr']"
413,"['5d2n']"
414,"['7pbe']"
416,"['6rp9']"
417,"['5d2n']"
418,"['2bnq']"
419,"['6vrn']"
420,"['6ulr']"
421,"['7rrg']"
422,"['6ulr']"
423,"['5eu6']"
424,"['6mtm']"
425,"['7n1e']"
426,"['7pbc', '7pdw']"
427,"['6uln', '6ulr']"
428,"['4eup']"
429,"['7phr']"
431,"['2bnq']"
433,"['6rp9']"
435,"['8en8', '8enh', '8eo8']"
436,"['1oga', '2vlj', '2vlk', '2vlr', '5hhm']"
437,"['6ulr', '7rrg']"
438,"['5jhd']"
439,"['6ulr']"
440,"['8en8', '8enh', '8eo8']"
441,"['7l1d']"
442,"['7rrg']"
443,"['5jhd']"
444,"['5xot', '6bj3', '6bj8']"
445,"['7rrg']"
446,"['6ulr']"
447,"['7rrg']"
448,"['5d2n']"
449,"['3sjv']"
450,"['5eu6']"
451,"['5d2n']"
452,"['7r80']"
453,"['7rrg']"
454,"['5d2n']"
455,"['1oga', '2vlj', '2vlk', '2vlr', '5hhm']"
456,"['5tez']"
457,"['6ulr']"
458,"['6vrm']"
459,"['6uln']"
460,"['6ulr']"
461,"['8en8', '8enh', '8eo8']"
462,"['5w1v', '5w1w']"
463,"['6ulr']"
464,"['7rk7']"
465,"['6ulr']"
466,"['6ulr']"
467,"['7rrg']"
468,"['6ulr']"
469,"['7rrg']"
470,"['6ulr']"
472,"['7rrg']"
473,"['7rrg']"
474,"['7ndq', '7ndu']"
475,"['5eu6']"
476,"['2esv']"
477,"['6bj2']"
478,"['7r80']"
480,"['7rrg']"
481,"['2bnq']"
484,"['7pbe', '8en8', '8enh', '8eo8']"
485,"['5d2n']"
486,"['6rp9']"
487,"['7ndq', '7ndu']"
488,"['7rrg']"
489,"['7rrg']"
490,"['2esv']"
491,"['8wul']"
492,"['6rp9']"
493,"['7n2s', '8cx4']"
494,"['6rpa']"
495,"['7n2p']"
496,"['7n2s']"
497,"['6rp9']"
498,"['7dzm', '7dzn']"
499,"['7rrg']"
501,"['5nmf', '6q3s']"
502,"['7nme', '7nmf', '7nmg']"
504,"['6vm7', '6vm8']"
505,"['6ulr']"
506,"['6vmx']"
508,"['8en8', '8enh', '8eo8']"
509,"['6vrm']"
510,"['5jhd']"
511,"['7rrg']"
513,"['6ulr']"
514,"['2bnq', '8gom', '8gon']"
515,"['4qrr']"
516,"['6bj2']"
517,"['6vrn']"
519,"['1mi5', '3kpr']"
520,"['5d2l']"
521,"['7dzm', '7dzn']"
522,"['7ndq', '7ndu']"
523,"['5d2n']"
524,"['5men']"
525,"['5d2n']"
526,"['5d2l']"
527,"['6vrn', '8gom', '8gon']"
528,"['6rp9']"
529,"['5d2n']"
530,"['5eu6']"
531,"['6rp9']"
533,"['5d2n']"
534,"['1mi5', '3kpr']"
