tcr_name,closest_tcr
5m02,"['6q3s', '2ak4', '2pye', '1g6r', '8gvg']"
8cx4,7n2s
5tez,"['6bj3', '6bj8', '4mxq']"
7rrg,"['7ndq', '6rp9']"
8i5d,4jry
3qdm,6bj8
3mv8,"['7phr', '3sjv', '6rsy', '5e9d', '5isz']"
8gon,6avg
5nmg,3qfj
3vxr,1fo0
8enh,"['8eo8', '5nme']"
5men,5tez
8qfy,"['7rtr', '7n1f']"
5swz,6vmx
8eo8,"['5jzi', '5nme']"
7jwj,"['7nmg', '7nme', '7nmf']"
3o4l,5nqk
2gj6,"['2gj6', '2p5e', '1oga', '2oi9', '6g9q', '5brz', '6vrm', '3h9s', '5til']"
5jzi,3tpu
6amu,"['3qdj', '3qdg', '6am5']"
6vmx,5isz
6mtm,5nqk
7n6e,"['6vma', '6amu', '3vxs']"
6bj2,2ol3
3vxu,5nmf
4jry,3tjh
3qdj,"['3dxa', '7ndu', '7nme']"
4jrx,"['4prh', '1bd2']"
8i5c,6uon
7q99,"['5e6i', '5c09', '5m01', '5eu6']"
6bj3,"['4qok', '4mxq']"
5wlg,"['7n2o', '6q3s', '2ak4', '2pye', '1g6r', '8gvg']"
3hg1,"['7q99', '5c09', '5m01', '5eu6']"
1bd2,"['6bj3', '4qok', '4mxq']"
2uwe,"['6am5', '5d2l', '2j8u']"
3sjv,3mv7
7nmg,"['4n0c', '4g8g']"
7rk7,6avf
3kxf,1bd2
4eup,"['5nht', '5yxu']"
3rgv,2e7l
2p5e,"['7n2r', '6uon']"
5xov,4qrr
7n1e,"['7dzn', '3tfk']"
7rtr,6zkz
5w1v,4qrp
4mji,"['4ftv', '1fo0']"
7l1d,8dnt
1fo0,"['1nam', '2ol3']"
6vrn,8wte
7n2n,4eup
6rpb,7qpj
6rsy,"['7ndt', '4mnq']"
2ypl,"['7nmg', '7nme', '7nmf']"
4ms8,"['8gvb', '4qrr', '5swz', '6vm7', '7q9b', '2ypl', '5c0b']"
5e6i,8enh
5euo,6vm9
7n2o,7n2n
6tro,4eup
