tcr_id,percentage
32592,4.584527220630372
1037,55.44412607449857
32182,98.71060171919771
33075,74.21203438395415
33049,38.25214899713467
32357,50.0
32431,59.885386819484246
32418,88.39541547277938
32785,51.146131805157594
32222,70.05730659025788
32977,97.27793696275072
33472,86.38968481375359
32036,3.7249283667621778
31852,29.942693409742123
32340,27.936962750716333
30556,80.51575931232091
32382,16.045845272206304
30998,32.09169054441261
32786,81.9484240687679
764,83.3810888252149
32584,76.93409742120345
53,56.73352435530086
5,79.22636103151862
31880,83.810888252149
21463,0.14326647564469913
32350,29.22636103151863
32436,61.74785100286533
32146,55.15759312320917
32811,98.28080229226362
32346,38.39541547277937
21448,12.320916905444127
33064,70.77363896848138
22626,48.853868194842406
32421,91.26074498567334
32145,1.7191977077363898
1190,70.34383954154728
1184,39.11174785100287
32532,7.736389684813753
32240,71.77650429799426
32724,70.63037249283668
28807,80.94555873925502
29728,19.197707736389685
32308,78.65329512893983
32447,74.06876790830945
32686,4.297994269340974
32862,61.60458452722063
32725,38.39541547277937
31748,21.060171919770774
31990,8.882521489971348
32255,25.787965616045845
31774,94.26934097421203
31760,90.54441260744986
31947,93.83954154727793
31004,9.312320916905444
32525,34.67048710601719
33149,59.885386819484246
32486,55.873925501432666
21404,43.26647564469914
21410,63.61031518624641
30079,32.664756446991404
20861,11.461318051575931
33158,98.99713467048711
32508,82.378223495702
21372,9.742120343839542
21367,0.8595988538681949
32482,25.644699140401144
32680,50.71633237822349
32737,28.796561604584525
31994,92.12034383954155
32090,31.23209169054441
30081,16.045845272206304
1333,95.27220630372493
33013,63.323782234957015
32907,14.326647564469914
32091,39.11174785100287
32088,24.785100286532952
33341,29.512893982808023
29735,6.303724928366762
1276,74.78510028653295
32841,11.031518624641834
32869,22.636103151862464
32316,35.95988538681949
32667,37.249283667621775
32897,31.51862464183381
33237,28.36676217765043
32061,94.98567335243553
31791,46.84813753581662
31752,10.744985673352435
1932,20.916905444126073
520,41.40401146131805
32139,10.888252148997136
21390,98.8538681948424
29733,41.833810888252145
32449,38.825214899713465
32448,74.78510028653295
1648,39.11174785100287
32716,10.601719197707736
1072,0.5730659025787965
723,13.896848137535816
32299,90.54441260744986
31786,16.475644699140403
33032,49.14040114613181
29719,14.613180515759314
32098,0.14326647564469913
32259,61.31805157593123
1016,48.853868194842406
22561,12.177650429799428
32766,63.323782234957015
31333,48.853868194842406
33256,1.146131805157593
183,60.60171919770774
31859,43.12320916905444
32149,84.38395415472779
30992,29.22636103151863
33243,19.197707736389685
31736,19.770773638968482
31905,13.753581661891118
32215,84.38395415472779
34506,91.26074498567334
1161,9.455587392550143
30576,90.11461318051576
30210,28.08022922636103
33095,92.12034383954155
32980,94.12607449856733
32214,50.0
72,90.11461318051576
32576,83.5243553008596
32210,9.025787965616045
32953,66.9054441260745
33318,22.77936962750716
1010,42.40687679083094
32774,67.90830945558739
21442,78.65329512893983
2685,35.24355300859599
32985,93.69627507163324
1011,0.42979942693409745
30610,79.22636103151862
30362,31.37535816618911
31726,4.297994269340974
32777,8.022922636103152
32987,83.2378223495702
32159,91.69054441260745
33086,65.18624641833811
32367,81.9484240687679
32401,16.6189111747851
32428,48.13753581661891
33050,13.18051575931232
1199,8.739255014326648
32560,23.20916905444126
