tcr_id,mhc_allele,score_tcr_p,score_tcr_MHC
32098,A*02:01:01:01,-2.6368129171549377,-3.804654915785043
22560,A*02:01:01:01,1.7343641241804981,-3.6845259117780236
33315,A*02:01:01:01,2.1330793943505495,-1.06393696976375
30403,A*02:01:01:01,0.20662944523968557,4.9423526686624015
32798,A*02:01:01:01,1.317876118196621,1.708363420777794
32596,A*02:01:01:01,1.0343465380918386,-0.45381504630804026
31902,A*02:01:01:01,4.4643315757223965,3.1001854351615554
32385,A*02:01:01:01,0.1477338635172062,5.046513903887301
31744,A*02:01:01:01,0.05699660883466212,-1.9897087241947624
31901,A*02:01:01:01,1.7421390537853698,-0.3692824661084189
31741,A*02:01:01:01,4.2136121624795,5.226242201451158
31685,A*02:01:01:01,0.6718565444735952,-4.098482926393125
21392,A*02:01:01:01,2.415324762967795,-2.523245203994138
32442,A*02:01:01:01,2.843438803194008,2.5407385184743823
32732,A*02:01:01:01,4.2208483593280635,-4.192800304823033
33316,A*02:01:01:01,-0.5169146809049886,2.301896503506965
33317,A*02:01:01:01,-1.3038861870212592,-3.650803937514305
32435,A*02:01:01:01,3.8911008976373163,-2.3412570101409065
31937,A*02:01:01:01,1.2722363216389492,1.7386711741005814
32355,A*02:01:01:01,4.695271106867099,-0.4143735465857926
31772,A*02:01:01:01,1.3729593516883758,-2.3707065559012226
31881,A*02:01:01:01,-0.04252231602808648,2.004141452988395
30993,A*02:01:01:01,3.7315414300303185,-0.7886297932102475
32015,A*02:01:01:01,2.7298034063729455,-0.2950749509456517
30112,A*02:01:01:01,4.392991158174891,-7.518371106180021
21398,A*02:01:01:01,3.0393990552942003,-3.9786860422957613
32719,A*02:01:01:01,4.721004423790776,6.915041283489155
31832,A*02:01:01:01,3.759533480354679,0.2330590322941284
22574,A*02:01:01:01,2.060743957262939,0.7554196981108547
32465,A*02:01:01:01,1.0257974190863401,3.630505112356948
32681,A*02:01:01:01,3.94746305952402,-1.4372411115378156
32029,A*02:01:01:01,0.2329264818105956,-2.4229484706224524
32037,A*02:01:01:01,2.6605393198661043,-0.7875036212691766
31989,A*02:01:01:01,2.479578936159604,-1.9686947711952079
32096,A*02:01:01:01,1.5146641561943577,-5.551300451462634
34497,A*02:01:01:01,1.1048821603321757,1.7739333762065237
33027,A*02:01:01:01,-0.6667082783573932,-4.729241155476821
32970,A*02:01:01:01,-0.1727137515661678,1.2826245723437375
32272,A*02:01:01:01,1.5529768301162645,3.6670563688973914
32217,A*02:01:01:01,0.0061425180190172735,4.5239370908332255
31762,A*02:01:01:01,6.258239995511948,-2.5377280951436645
31967,A*02:01:01:01,0.5227563257921177,-1.7850785967534928
856,A*02:01:01:01,4.942748021317163,-2.652249270175213
32239,A*02:01:01:01,1.2470347089619376,1.4588784247120279
32887,A*02:01:01:01,1.7508280087702972,0.42968624987466886
32854,A*02:01:01:01,-0.19679101103214924,0.6271450501303846
1026,A*02:01:01:01,-0.8102068949617476,-1.3985348176116574
22575,A*02:01:01:01,3.6779669400609163,0.9709514893351461
33242,A*02:01:01:01,0.7556217193034731,1.8435068492752111
31922,A*02:01:01:01,1.2464111565566935,-5.088885119187913
1128,A*02:01:01:01,-0.5706180158653904,-1.6895950676251117
32597,A*02:01:01:01,0.7756068483696121,2.9056886860040105
