reference_id,percentage_lower
3qfj,0.0
3vxm,93.9568345323741
5c0b,0.0
6avf,27.482014388489205
6vm7,1.0071942446043165
6vmc,0.0
6eqb,9.784172661870503
2vlr,0.28776978417266186
8f5a,91.79856115107914
6zky,75.39568345323741
5bs0,0.28776978417266186
6rsy,23.597122302158276
7n2o,6.474820143884892
5euo,1.0071942446043165
6rpa,45.17985611510792
6tro,5.611510791366906
6vrm,57.985611510791365
7qpj,0.5755395683453237
7n1e,67.4820143884892
2p5e,0.0
5xot,0.0
7n1f,22.15827338129496
7l1d,16.546762589928058
6uln,0.8633093525179856
7nme,0.0
4jrx,0.0
7q99,59.42446043165468
5c08,0.0
1qse,0.0
5c09,0.0
5yxn,79.42446043165468
1bd2,15.251798561151078
8gvi,0.0
3mv9,0.0
3mv8,0.0
8eo8,0.8633093525179856
5jzi,1.870503597122302
1oga,0.28776978417266186
4pri,0.0
4mji,59.56834532374101
5nqk,0.0
3utt,0.0
7rm4,94.10071942446044
2p5w,0.14388489208633093
6vrn,2.5899280575539567
5brz,0.28776978417266186
8qfy,2.014388489208633
2gj6,0.0
3d3v,0.0
3w0w,46.18705035971223
4l3e,0.4316546762589928
7rk7,69.92805755395683
3vxu,43.02158273381295
6bj2,7.625899280575539
6vm9,0.0
7n6e,45.17985611510792
1qsf,0.0
6bj3,0.0
1qrn,0.0
6avg,13.381294964028779
2f54,35.158501440922194
6vma,0.0
5yxu,76.97841726618705
4jfe,1.5827338129496402
7dzn,1.1510791366906474
3mv7,0.14388489208633093
6vqo,36.83453237410072
7r80,95.8273381294964
6ulr,2.158273381294964
3h9s,0.0
2pye,0.14388489208633093
7n2r,0.8633093525179856
7ow6,0.0
6uon,6.043165467625899
5w1w,43.16546762589928
3gsn,7.482014388489208
7n2n,2.014388489208633
6zkw,66.90647482014388
5tez,83.7410071942446
7rrg,15.827338129496402
8gon,59.856115107913666
5nmg,0.0
3vxr,1.7266187050359711
7nmf,0.0
6tmo,1.1510791366906474
1ao7,0.0
4mnq,13.093525179856117
3qdj,82.15827338129496
4jry,99.568345323741
6amu,75.97122302158273
6dkp,0.5755395683453237
6q3s,18.443804034582133
8gvg,0.0
4g8g,5.467625899280575
5isz,27.33812949640288
7q9a,0.14388489208633093
7pdw,0.28776978417266186
5c0c,0.0
7dzm,0.7194244604316548
8shi,25.03597122302158
2nx5,65.61151079136691
6p64,34.24460431654676
4g9f,23.16546762589928
3qeq,34.67625899280576
6r2l,24.028776978417266
4qok,0.0
5d2l,19.71223021582734
5jhd,26.187050359712234
6d78,15.971223021582734
4prp,0.0
7ndu,1.5827338129496402
6mtm,0.4316546762589928
6vmx,2.7338129496402876
6am5,3.4532374100719423
8en8,0.0
3o4l,16.115107913669064
5nme,1.2949640287769784
2esv,16.546762589928058
2ak4,0.0
8gom,69.64028776978417
3vxs,0.0
5nmf,0.4316546762589928
2ypl,91.79856115107914
5w1v,8.345323741007196
2vlj,0.14388489208633093
7rtr,20.431654676258994
5xov,99.28057553956835
7n2s,0.4316546762589928
7ndt,46.906474820143885
3dxa,16.69064748201439
3kpr,22.73381294964029
7pbe,1.4388489208633095
6rp9,82.01438848920863
5eu6,16.546762589928058
6bj8,0.0
3d39,0.0
2f53,20.7492795389049
5hyj,0.0
7phr,22.014388489208635
3ffc,76.40287769784173
7q9b,12.949640287769784
3pwp,1.7266187050359711
5c07,0.0
5c0a,0.0
2bnr,49.13544668587896
4jfd,1.1510791366906474
2bnq,34.43804034582133
3hg1,0.4316546762589928
4eup,24.46043165467626
3kxf,0.0
7nmg,0.0
3sjv,4.172661870503598
6vm8,1.4388489208633095
8cx4,1.0071942446043165
5men,7.625899280575539
8enh,0.0
3qdm,50.935251798561154
5e9d,58.992805755395686
6rpb,38.99280575539568
4ftv,0.0
5e6i,17.985611510791365
4prh,0.0
3uts,0.0
5hhm,1.2949640287769784
5hho,0.4316546762589928
2vlk,0.28776978417266186
6eqa,7.338129496402877
7ow5,44.460431654676256
7pb2,1.2949640287769784
7n2p,8.345323741007196
3kps,20.863309352517987
7n2q,7.338129496402877
5nht,0.0
7ndq,10.215827338129497
8dnt,51.36690647482014
5d2n,61.294964028776974
1mi5,39.42446043165468
7pbc,0.0
4qrr,60.143884892086334
8gvb,0.0
4qrp,53.669064748201436
4jff,2.7338129496402876
3qdg,0.5755395683453237
